Step,Value
1080,0.9891
1081,0.9887
1082,0.9888
1083,0.9882
1084,0.9886
1085,0.988
1086,0.989
1087,0.9891
1088,0.9891
1089,0.9894
1090,0.9888
1091,0.9893
1092,0.9896
1093,0.989
1094,0.9893
1095,0.9888
1096,0.9895
1097,0.9885
1098,0.9883
1099,0.9889
1100,0.9893
1101,0.9896
1102,0.9894
1103,0.9897
1104,0.9897
1105,0.9898
1106,0.9892
1107,0.9883
1108,0.9883
1109,0.9889
1110,0.9893
1111,0.9887
1112,0.9893
1113,0.9891
1114,0.9898
1115,0.989
1116,0.9888
1117,0.9887
1118,0.9889
1119,0.9891
1120,0.9894
1121,0.9895
1122,0.9894
1123,0.9891
1124,0.9888
1125,0.9895
1126,0.9888
1127,0.9891
1128,0.9892
1129,0.9878
1130,0.9889
1131,0.9889
1132,0.9891
1133,0.9884
1134,0.9885
1135,0.9888
1136,0.9884
1137,0.9886
1138,0.9884
1139,0.9889
1140,0.9899
1141,0.9894
1142,0.9897
1143,0.9898
1144,0.9899
1145,0.9897
1146,0.9892
1147,0.9891
1148,0.9889
1149,0.9888
1150,0.9893
1151,0.9892
1152,0.9891
1153,0.9892
1154,0.9894
1155,0.9894
1156,0.9891
1157,0.9901
1158,0.989
1159,0.9894
1160,0.9896
1161,0.9898
1162,0.9901
1163,0.9903
1164,0.9902
1165,0.9902
1166,0.9892
1167,0.9891
1168,0.9892
1169,0.9886
1170,0.9891
1171,0.9891
1172,0.9666
1173,0.9844
1174,0.9881
1175,0.9894
1176,0.9893
1177,0.9894
1178,0.9894
1179,0.9893
1180,0.9895
1181,0.9897
1182,0.9898
1183,0.9898
1184,0.9896
1185,0.9888
1186,0.9893
1187,0.9891
1188,0.9884
1189,0.9896
1190,0.9893
1191,0.9897
1192,0.9894
1193,0.9889
1194,0.9897
1195,0.9897
1196,0.9901
1197,0.99
1198,0.9898
1199,0.9897
1200,0.99
1201,0.9896
1202,0.99
1203,0.9899
1204,0.9901
1205,0.9899
1206,0.9899
1207,0.9894
1208,0.9894
1209,0.9898
1210,0.9901
1211,0.9901
1212,0.9891
1213,0.9901
1214,0.9895
1215,0.9897
1216,0.99
1217,0.99
1218,0.9897
1219,0.9891
1220,0.9894
1221,0.9893
1222,0.9893
1223,0.9898
1224,0.9896
1225,0.9898
1226,0.9898
1227,0.9899
1228,0.9897
1229,0.9895
1230,0.9894
1231,0.9895
1232,0.9898
1233,0.9896
1234,0.9892
1235,0.9894
1236,0.99
1237,0.9894
1238,0.9898
1239,0.99
1240,0.9897
1241,0.9896
1242,0.9893
1243,0.9894
1244,0.9893
1245,0.9899
1246,0.9894
1247,0.9895
1248,0.9895
1249,0.9898
1250,0.9898
1251,0.9901
1252,0.9898
1253,0.9899
1254,0.9902
1255,0.9899
1256,0.9896
1257,0.9897
1258,0.9899
1259,0.9897
1260,0.9894
1261,0.9897
1262,0.9895
1263,0.9898
1264,0.9898
1265,0.9893
1266,0.9897
1267,0.9894
1268,0.9892
1269,0.9893
1270,0.9892
1271,0.9892
1272,0.989
1273,0.99
1274,0.9897
1275,0.9895
1276,0.9892
1277,0.9897
1278,0.9897
1279,0.9894
1280,0.9892
1281,0.9894
1282,0.9899
1283,0.9902
1284,0.9904
1285,0.9892
1286,0.9896
1287,0.9893
1288,0.9889
1289,0.9897
1290,0.9893
1291,0.9896
1292,0.989
1293,0.9894
1294,0.9894
1295,0.9895
1296,0.9898
1297,0.9897
1298,0.9896
1299,0.9894
1300,0.9887
1301,0.989
1302,0.9901
1303,0.9904
1304,0.9897
1305,0.9894
1306,0.9899
1307,0.9893
1308,0.9903
1309,0.9898
1310,0.9895
1311,0.9898
1312,0.9904
1313,0.99
1314,0.9905
1315,0.9896
1316,0.99
1317,0.9905
1318,0.9905
1319,0.9901
1320,0.9898
1321,0.9895
1322,0.9896
1323,0.9897
1324,0.9901
1325,0.9896
1326,0.9894
1327,0.9898
1328,0.9901
1329,0.9897
1330,0.9893
1331,0.9887
1332,0.9885
1333,0.9891
1334,0.9901
1335,0.99
1336,0.9898
1337,0.9893
1338,0.989
1339,0.9889
1340,0.9889
1341,0.9897
1342,0.9894
1343,0.9895
1344,0.9899
1345,0.9899
1346,0.9897
1347,0.9892
1348,0.9897
1349,0.9898
1350,0.9908
1351,0.9905
1352,0.9903
1353,0.99
1354,0.9907
1355,0.9901
1356,0.9897
1357,0.99
1358,0.9903
1359,0.9899
1360,0.9896
1361,0.9902
1362,0.99
1363,0.9897
1364,0.9895
1365,0.9896
1366,0.99
1367,0.9901
1368,0.9898
1369,0.9897
1370,0.9898
1371,0.9906
1372,0.9904
1373,0.99
1374,0.9896
1375,0.9893
1376,0.99
