Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
166,0.2617,1.9968,0.5415,,,,,,,,,,
167,0.3203,1.9736,0.5388,,,,,,,,,,
168,0.2707,1.9749,0.5447,,,,,,,,,,
169,0.273,1.9723,0.5447,,,,,,,,,,
170,0.2314,2.007,0.5441,,,,,,,,,,
171,0.2724,1.9981,0.5465,,,,,,,,,,
172,0.2478,2.0138,0.5467,,,,,,,,,,
173,0.2768,1.9939,0.5453,,,,,,,,,,
174,0.256,1.9996,0.5486,,,,,,,,,,
175,0.2823,1.982,0.5441,,,,,,,,,,
176,0.2455,2.0133,0.5414,,,,,,,,,,
177,0.2604,2.0188,0.545,,,,,,,,,,
178,0.281,2.0056,0.5465,,,,,,,,,,
179,0.2381,2.0265,0.5434,,,,,,,,,,
180,0.2903,2.0063,0.5436,,,,,,,,,,
181,0.2512,2.0398,0.5435,,,,,,,,,,
182,0.2522,2.034,0.5426,,,,,,,,,,
183,0.2349,2.0481,0.5418,,,,,,,,,,
184,0.2661,2.0315,0.5422,,,,,,,,,,
185,0.2386,2.0367,0.5435,,,,,,,,,,
186,0.2566,2.0408,0.5443,,,,,,,,,,
187,0.2734,2.023,0.5417,,,,,,,,,,
188,0.2414,2.0489,0.5433,,,,,,,,,,
189,0.2492,2.0468,0.5449,,,,,,,,,,
190,0.2826,2.0267,0.5429,,,,,,,,,,
191,0.2164,2.075,0.5462,,,,,,,,,,
192,0.215,2.0856,0.5437,,,,,,,,,,
193,0.2123,2.0973,0.5393,,,,,,,,,,
194,0.2422,2.1012,0.5438,,,,,,,,,,
195,0.2617,2.0795,0.5435,,,,,,,,,,
196,0.2702,2.0906,0.5404,,,,,,,,,,
197,0.2334,2.0795,0.5405,,,,,,,,,,
198,0.2347,2.0696,0.5371,,,,,,,,,,
199,0.2272,2.1004,0.542,,,,,,,,,,
200,0.2273,2.0942,0.5453,,,,,,,,,,
201,0.2244,2.1092,0.5413,,,,,,,,,,
202,0.2248,2.1091,0.5383,,,,,,,,,,
203,0.2474,2.1061,0.5414,,,,,,,,,,
204,0.2322,2.1068,0.544,,,,,,,,,,
205,0.2273,2.1209,0.5439,,,,,,,,,,
206,0.2301,2.1154,0.5371,,,,,,,,,,
207,0.2449,2.119,0.5365,,,,,,,,,,
208,0.2387,2.1379,0.5378,,,,,,,,,,
209,0.2228,2.1394,0.5378,,,,,,,,,,
210,0.2523,2.124,0.5372,,,,,,,,,,
211,0.2698,2.1265,0.5409,,,,,,,,,,
212,0.2377,2.123,0.5385,,,,,,,,,,
213,0.2321,2.155,0.5411,,,,,,,,,,
214,0.2518,2.1386,0.5389,,,,,,,,,,
215,0.2164,2.1403,0.5386,,,,,,,,,,
216,0.2606,2.1368,0.5415,,,,,,,,,,
217,0.198,2.1675,0.5408,,,,,,,,,,
218,0.2509,2.1409,0.5401,,,,,,,,,,
219,0.1962,2.1718,0.5402,,,,,,,,,,
220,0.2459,2.1712,0.5412,,,,,,,,,,
221,0.2153,2.1853,0.5387,,,,,,,,,,
222,0.2199,2.1911,0.5412,,,,,,,,,,
223,0.2317,2.1845,0.539,,,,,,,,,,
224,0.2587,2.1672,0.5383,,,,,,,,,,
225,0.222,2.1752,0.5377,,,,,,,,,,
