epoch,training loss,test acc
677,0.48,50.9
678,0.47,52.22
679,0.46,51.54
680,0.56,49.25
681,0.52,50.57
682,0.51,51.47
683,0.49,50.06
684,0.47,50.22
685,0.52,51.24
686,0.51,50.92
687,0.52,49.7
688,0.49,50.94
689,0.53,51.19
690,0.47,49.95
691,0.52,48.99
692,0.53,51.17
693,0.49,50.41
694,0.5,49.65
695,0.57,49.92
696,0.53,49.44
697,0.49,52.47
698,0.51,51.68
699,0.6,49.99
700,0.57,50.72
701,0.5,51.52
702,0.51,49.09
703,0.53,50.6
704,0.53,48.82
705,0.56,51.53
706,0.56,50.92
707,0.51,49.33
708,0.64,49.91
709,0.54,50.51
710,0.5,49.05
711,0.5,50.11
712,0.51,52.07
713,0.54,51.97
714,0.56,49.32
715,0.58,51.05
716,0.5,50.4
717,0.63,47.61
718,0.63,51.34
719,0.47,51.21
720,0.5,51.48
721,0.53,50.12
722,0.49,50.79
723,0.54,52.11
724,0.5,52.1
725,0.42,52.11
726,0.56,49.24
727,0.52,49.96
728,0.56,50.87
729,0.63,49.76
730,0.66,50.0
731,0.62,50.0
732,0.66,50.11
733,0.63,49.39
734,0.55,50.03
735,0.5,51.62
736,0.54,50.86
737,0.54,50.59
738,0.59,49.47
739,0.59,47.51
740,0.57,49.7
741,0.61,50.56
742,0.57,50.63
743,0.58,48.98
744,0.66,49.68
745,0.58,49.66
746,0.59,50.89
747,0.54,50.91
748,0.52,51.27
749,0.6,49.94
750,0.68,51.25
751,0.6,50.19
752,0.56,50.78
753,0.54,48.31
754,0.54,51.36
755,0.51,50.4
756,0.58,50.66
757,0.55,46.36
758,0.57,51.54
759,0.51,50.41
760,0.63,50.96
761,0.61,48.78
762,0.7,50.07
763,0.64,50.48
764,0.86,49.47
765,0.71,50.14
766,0.72,51.93
767,0.59,50.26
768,0.54,50.4
769,0.58,49.81
770,1.0,45.74
771,0.76,50.79
772,0.56,50.57
773,0.58,50.92
774,0.54,49.47
775,0.66,50.68
776,0.66,49.4
777,0.79,47.86
778,0.6,51.09
779,0.66,49.99
780,0.59,49.87
781,0.59,49.43
782,0.7,52.13
783,0.75,48.9
784,0.8,48.96
785,0.65,49.08
786,0.63,50.42
787,0.75,51.11
788,0.62,50.58
789,0.61,49.83
790,0.66,49.42
791,0.6,48.59
792,0.59,50.29
793,0.63,50.77
794,0.67,50.16
795,0.89,47.25
796,0.75,49.87
797,0.7,49.41
798,0.68,48.64
799,0.59,49.17
800,0.76,47.16
801,0.8,48.44
802,0.78,50.6
803,0.75,49.82
804,0.71,49.34
805,0.81,48.81
806,0.93,44.47
807,0.79,45.52
808,0.63,49.89
809,0.64,50.58
810,0.75,50.99
811,0.68,50.13
812,0.65,50.56
813,0.64,50.62
814,0.79,51.22
815,0.83,49.31
816,0.66,49.36
817,0.81,43.61
818,0.76,47.65
819,0.71,48.85
820,1.39,11.01
821,2.3,10.57
822,2.3,11.46
823,2.28,13.66
824,1.62,40.72
825,1.01,48.67
826,0.98,45.16
827,0.9,47.15
828,0.92,42.78
829,0.92,47.79
830,0.91,46.42
831,0.75,50.64
832,1.0,46.2
833,0.92,43.82
834,0.83,47.31
835,0.83,49.55
836,0.98,48.02
837,0.88,43.7
838,0.82,46.82
839,0.96,41.8
840,0.9,46.93
841,0.94,15.96
842,1.71,26.28
843,2.21,14.12
844,1.97,20.15
845,2.18,10.12
846,2.29,10.48
847,1.93,30.86
848,1.39,40.62
849,1.21,39.93
850,1.04,41.87
851,1.12,40.98
852,1.07,45.23
853,1.04,44.15
854,0.94,42.96
855,0.92,43.97
856,0.9,44.85
857,1.41,31.17
858,2.16,16.02
859,1.94,34.11
860,1.41,42.24
861,1.12,41.54
862,1.08,35.98
863,1.01,44.28
864,1.16,46.04
865,1.26,41.63
866,1.04,45.71
867,1.0,45.03
868,1.04,40.61
869,1.37,37.44
870,1.06,41.93
871,0.96,45.29
872,1.01,43.56
873,1.18,42.63
874,1.2,42.06
875,1.31,34.84
876,1.34,39.22
877,1.53,31.5
878,1.21,43.07
879,1.07,42.34
880,1.24,42.03
881,1.19,37.58
882,1.19,39.25
883,1.17,37.25
884,1.01,42.21
885,1.13,39.09
886,1.11,33.76
887,1.28,38.65
888,1.17,43.0
889,1.22,31.18
890,1.37,37.42
891,1.18,38.99
892,1.17,40.7
893,1.22,40.18
894,1.25,41.09
895,1.34,40.41
896,1.34,34.25
897,1.31,38.41
898,1.27,39.29
899,1.25,41.46
900,1.29,39.28
901,1.29,40.32
902,1.19,38.49
903,1.24,38.31
904,1.25,33.32
905,1.21,41.01
906,1.53,38.09
907,1.44,32.75
908,1.36,36.44
909,1.32,37.82
910,1.32,34.12
911,1.21,42.3
912,1.26,33.21
913,1.16,45.44
914,1.32,39.48
915,1.22,41.49
916,1.23,33.78
917,1.21,41.48
918,1.11,44.95
919,1.08,33.33
920,1.77,36.9
921,1.37,40.41
922,2.09,23.54
923,1.42,39.88
924,1.13,42.08
925,1.03,43.2
926,1.44,11.07
927,2.01,14.94
928,1.55,31.63
929,1.36,30.96
930,1.36,36.06
931,1.22,31.55
932,1.24,41.85
933,1.82,35.67
934,1.32,35.06
935,2.38,10.0
936,2.3,10.0
937,2.3,10.01
938,2.3,10.0
939,2.3,10.0
940,2.3,10.01
941,2.3,10.01
942,2.3,10.01
943,2.3,10.0
944,2.3,10.0
945,2.3,10.0
946,2.3,10.0
947,2.3,10.0
948,2.3,10.0
949,2.3,10.0
950,2.3,10.0
951,2.3,10.0
952,2.3,10.0
953,2.3,10.0
954,2.3,10.0
955,2.3,10.0
956,2.3,10.0
957,2.3,10.0
958,2.3,10.0
959,2.3,10.0
960,2.3,10.0
961,2.3,10.0
962,2.3,10.0
963,2.3,10.01
964,2.3,10.0
965,2.3,10.01
966,2.3,10.01
967,2.3,10.0
968,2.3,10.01
969,2.3,10.06
970,2.3,10.01
971,2.3,10.05
972,2.3,10.05
973,2.3,10.05
974,2.3,10.0
975,2.3,10.12
976,2.29,10.07
977,2.29,10.07
978,2.29,10.25
979,2.28,11.29
980,2.25,12.23
981,2.19,13.29
982,2.0,22.69
983,1.66,28.65
984,1.41,21.72
985,2.33,12.07
986,2.17,29.35
987,1.41,15.89
988,1.58,33.84
989,1.27,35.43
990,1.58,34.11
991,1.35,34.77
992,1.49,26.11
993,1.33,37.47
994,1.3,37.46
995,1.19,39.15
996,1.19,38.2
997,1.2,39.8
998,1.17,34.15
999,1.16,38.94
1000,1.25,35.49
