Wall time,Step,Value
1621236973.0742023,2320,0.5947999954223633
1621237079.3336859,2346,0.5792999863624573
1621237116.747682,2355,0.5845000147819519
1621237258.98683,2390,0.5724999904632568
1621237263.0344245,2391,0.5864999890327454
1621237270.8833082,2393,0.6047000288963318
1621237447.9108558,2437,0.6107000112533569
1621237480.6978447,2445,0.6086999773979187
1621237517.8008392,2454,0.6049000024795532
1621237526.0634398,2456,0.6068999767303467
1621237546.6380725,2461,0.5842999815940857
1621237648.599463,2486,0.5995000004768372
1621237652.5695643,2487,0.6021000146865845
1621237695.5270863,2497,0.5672000050544739
1621237703.9340763,2499,0.49470001459121704
1621237724.740612,2504,0.5918999910354614
1621237783.6693392,2518,0.612500011920929
1621237808.1904197,2524,0.617900013923645
1621237845.227961,2533,0.6205000281333923
1621237907.4261215,2548,0.6344000101089478
1621237932.2506924,2554,0.6176000237464905
1621238150.104344,2607,0.6244999766349792
1621238478.917242,2686,0.6367999911308289
1621238554.9426842,2704,0.5922999978065491
1621238705.767354,2741,0.6241000294685364
1621238762.047482,2755,0.6259999871253967
1621238902.6295967,2790,0.6306999921798706
1621239241.4218903,2873,0.626800000667572
1621239338.2203453,2897,0.6395000219345093
1621239623.8649309,2968,0.642799973487854
1621239656.5480247,2976,0.6359999775886536
1621239804.635676,3012,0.6366999745368958
1621239914.820436,3039,0.6431999802589417
1621239927.0139737,3042,0.6334999799728394
1621240161.2828114,3100,0.6456000208854675
1621240416.5812013,3162,0.6419000029563904
1621240481.331323,3178,0.6233000159263611
1621240557.7215204,3196,0.656000018119812
1621240561.7000756,3197,0.6330999732017517
1621240702.987751,3231,0.642799973487854
1621240744.041458,3241,0.6488999724388123
1621240756.2936418,3244,0.657800018787384
1621240760.7790947,3245,0.6383000016212463
1621240768.7060962,3247,0.6396999955177307
1621240772.858075,3248,0.6611999869346619
1621241017.6505122,3306,0.6703000068664551
1621241182.973181,3346,0.6606000065803528
1621241309.987395,3377,0.6686999797821045
1621241421.2141967,3404,0.6586999893188477
1621241442.8748503,3409,0.6628999710083008
